m,Re_a_11,Im_a_11,Re_a_21,Im_a_21,Re_a_22,Im_a_22,Re_a_31,Im_a_31,Re_a_41,Im_a_41,Re_a_51,Im_a_51,Re_a_61,Im_a_61,I_11,I_21,I_22,I_31,I_41,I_51,I_61,I_sum_basis,I_total
1.811764705882353,1.0232120063537273,-0.8358681767391334,-0.6392140615444523,1.634817046187391,-0.18977651327892198,0.15524037928204432,1.1896005424056941,0.3646633690413541,1.3970527444620122,-0.15373174526520983,-0.2991121319720466,-0.6982910341858775,0.021913940113756657,-0.11354053578196627,1.7456384188316232,3.081221390981021,0.060114700351937826,1.5481288232125126,1.9753898203111278,0.5770784359172453,0.013371674036965276,9.000943263642434,9.13605762444083
1.822689075630252,1.0254398007522605,-0.8165035194459851,-0.6532741560278637,1.5691905709965712,-0.18590526401024252,0.15448179945555138,1.1415195332973302,0.39286914003391893,1.418167864466999,-0.10368171052401466,-0.2763070466431479,-0.7206560124667831,0.022084337972961783,-0.11869980527909413,1.718204782234516,2.889126171038463,0.05842539354974317,1.4574130060903459,2.021949988904074,0.595690672329183,0.014577361756998865,8.755387375903323,8.889515292238855
1.8336134453781512,1.026200185102092,-0.7965115626148214,-0.6638927965470982,1.5051028083933984,-0.18219682631877399,0.15373692406853512,1.0926086600030898,0.4173342566986125,1.4363345685095266,-0.05242613118469703,-0.2518630083789943,-0.7417700676524633,0.02260788555954708,-0.12443396992697883,1.6875174892826728,2.7060881091408215,0.05683072534268802,1.3679615657279307,2.0658054919264432,0.6136578082548574,0.015994929361261852,8.513856119036676,8.644769413725228
1.8445378151260505,1.0255192863769522,-0.7760484815657546,-0.6712818807560756,1.4427457604309988,-0.1786481804931334,0.15299621121999646,1.043173681803296,0.4380708376256359,1.4514608561238442,-0.0001803252989572992,-0.22586932655225897,-0.761491939126914,0.023545941137638953,-0.13072959620140587,1.6539410524716067,2.5321346926730355,0.05532301304118095,1.2801173891850706,2.106738649376976,0.6308869260324388,0.017644638667039792,8.276786361447348,8.406880119584228
1.8554621848739496,1.0234347883822748,-0.755262459965654,-0.6756623670241291,1.3822886046489096,-0.17525558587335613,0.15225065281740952,0.99352377258675,0.4551122856063302,1.4634740077142234,0.05283219213979557,-0.19842847327550864,-0.7796877950755359,0.024960442752373867,-0.13756686275060112,1.6178401495044425,2.3672414207548784,0.05389478166314067,1.1942166792048259,2.1445474117814274,0.6472869167962001,0.01954766542943726,8.044575025134352,8.173961108551104
1.8663865546218488,1.0199952256509908,-0.7342927343168653,-0.67726311305035,1.3238768977169952,-0.17201466364229662,0.15149177183206988,0.9439297966655035,0.46853380637856396,1.4723190925756664,0.10638223296768129,-0.1696552288658155,-0.7962321051269255,0.0269132030593291,-0.1449193967229792,1.5795760800213539,2.2113353646074265,0.05253880144079236,1.1105273887525644,2.1790406898540238,0.6627684619163676,0.02172595204546492,7.817512738637994,7.946350553867138
1.877310924369748,1.0152587152148242,-0.7132686739843672,-0.6763177995041068,1.2676326996969938,-0.16892043915010446,0.15071170929214406,0.8946802336661043,0.4784190126596803,1.477965576881373,0.16023527567718332,-0.1396769086519684,-0.8110095624497012,0.029465156706639205,-0.1527540675931525,1.539502460107073,2.064298427267166,0.051248134080423884,1.0293374721870983,2.210057590017633,0.6772461491954261,0.024202000626000204,7.5958922334808205,7.724325513846471
1.888235294117647,1.0092912367326439,-0.6923093200279807,-0.6730626737835698,1.2136574457469522,-0.16596741353250513,0.14990321449962737,0.8460404748928133,0.48487958193232905,1.4804021061611004,0.21415458858406153,-0.1086313260995472,-0.8239156714873554,0.03267570810388688,-0.16103098115913975,1.4979609951429147,1.9259777584577042,0.050016156071990864,0.9508926941317273,2.2374525837378303,0.690637798732606,0.02699867879316564,7.379936665067938,7.508112625447861
1.8991596638655461,1.0021657227589245,-0.6715229018998996,-0.6677344056811734,1.1620187208983395,-0.16314962328828622,0.1490596832075697,0.7982604860956738,0.4880484225305973,1.4796346665017397,0.2679051775203665,-0.07666632882067162,-0.8348582430578739,0.036601854842724706,-0.16970345503815323,1.4552791436489796,1.7961567442486028,0.04883658873705074,0.8754110663963058,2.2610919304559336,0.7028660119765194,0.030138958429814386,7.169780443893206,7.2980478808963465
1.9100840336134455,0.9939616538055615,-0.6510067666630598,-0.6605679306932493,1.112777749833712,-0.1604606960326354,0.1481751901751957,0.7515725189941654,0.48807766661077173,1.4756901623038265,0.3212543272190588,-0.04393848218624807,-0.8437584715608841,0.04129775290145716,-0.17871808151858232,1.4117695794769785,1.6746243115853405,0.04770352195473323,0.8030810599514508,2.280865797877264,0.7138589485475906,0.03364565705639244,6.96554887644975,7.093876961766422
1.9210084033613446,0.9847624089115039,-0.6308467704846027,-0.651794316662884,1.0659634687446857,-0.15789393435704216,0.14724446756485923,0.706190337382458,0.485136480794068,1.4686315335343962,0.3739663994732449,-0.010611871294301843,-0.8505517284362275,0.04681330368813892,-0.18801502397634076,1.367724649836041,1.5611139479322385,0.046611427735204825,0.7340621976096029,2.296729449226575,0.723550854558221,0.03754113464302191,6.767333661540905,6.895919115064228
1.9319327731092437,0.9746534168388444,-0.6111179972092352,-0.6416383495871703,1.0215870880552769,-0.15544234533503046,0.14626297313408515,0.6623071520989492,0.47940900523107777,1.458521778418175,0.4258193482457829,0.02314347766857705,-0.855188420900136,0.05319397160985421,-0.19752815920386596,1.323414489468661,1.455339950142208,0.04555518003327698,0.6684837580180722,2.3086078954605793,0.7318828558002641,0.04184697229409779,6.57513110121716,6.704061038349637
1.9428571428571428,0.9637237171702503,-0.5918839368400719,-0.6303179070140291,0.9796401576091783,-0.15309874471497673,0.14522682530539785,0.6200951082662332,0.47109200112710586,1.445451312263326,0.4765995506412273,0.05715284402109252,-0.8576346672377253,0.06047973549566575,-0.20718551965683185,1.2790899977257468,1.356995502303082,0.04453005642158616,0.6064456168216525,2.3164766277951907,0.7388036700276631,0.04658363796109715,6.388925109056019,6.518502975392227
1.953781512605042,0.9520635864098906,-0.5731976534293368,-0.6180410883551994,0.9400963923059894,-0.15085579509194513,0.14413282839513267,0.5796913041085251,0.4603990628621133,1.4295262771548014,0.5260997387553269,0.09123867683695994,-0.8578727228060823,0.06870445433662509,-0.216909766806984,1.2349806224645614,1.265756013722016,0.043531743134003695,0.5480093051433547,2.320326312194489,0.7442701046856806,0.05177014898195358,6.208644250326059,6.3390828368939625
1.964705882352941,0.9397611994288363,-0.555101531670333,-0.6050063019226252,0.9029122518820559,-0.1487060609120681,0.14297851117345955,0.5412595867412872,0.44752588974683866,1.4108775665188702,0.5741226596561935,0.1252220799612647,-0.8559013551405921,0.07789511009594884,-0.22661879102112242,1.1912888224146747,1.181283159964816,0.0425563472093628,0.49324136223304854,2.3201923360369103,0.7482476990413274,0.05742372462073515,6.034233451520874,6.165726928229664
1.9756302521008404,0.9269043072627816,-0.5376279217352441,-0.5913989434777853,0.8680298498673941,-0.14664209169983952,0.1417620254310981,0.5048684660535316,0.43271083719523323,1.389644225990492,0.6204887346621023,0.15892449713141535,-0.8517360875122714,0.08807122250462768,-0.2362262231461063,1.1481953770516549,1.1032285306074514,0.041600374912431445,0.4421308366414457,2.3161173446712904,0.7507113585591849,0.06355936873533365,5.8655431911787925,5.99830699989576
1.9865546218487395,0.9135783553974619,-0.5207998874822293,-0.5773924692268706,0.8353781556759399,-0.14465645496423873,0.14048219363405653,0.47061107895190873,0.41617049556957864,1.3659836934855183,0.6650317745867812,0.1921693681057391,-0.845408553880438,0.09924417536754708,-0.24564232551415804,1.1058579342522339,1.0312387265004375,0.04066073669105738,0.3946726690149084,2.308178712078382,0.7516446890123725,0.07018955842838802,5.702443025977779,5.836692316551691
1.9974789915966387,0.8998658369135611,-0.5046315948675381,-0.5631456479846085,0.8048739848986608,-0.1427418036778881,0.13913847406041982,0.438543679814219,0.39813005316518424,1.3400651777025037,0.7076015378392698,0.22478402668889985,-0.8369672474251508,0.11141701889508862,-0.2547746439246772,1.064411570982699,0.9649551524106543,0.03973473748107887,0.35082809833830864,2.2964746168433425,0.7510420319169097,0.07732387128641459,5.544770079259408,5.68069289979468
2.008403361344538,0.8858452196511063,-0.48912931828454526,-0.5488035065153828,0.7764248471919912,-0.1408909194851507,0.13773091816816857,0.40870756911107564,0.3788075858680023,1.312069594322673,0.7480650093582488,0.25660106317080933,-0.8264763321800901,0.12458349496156769,-0.26352913417265245,1.0239692431842207,0.9040208321006868,0.03882005701281796,0.3105370641598286,2.281127878572221,0.7489072332742442,0.08496865177462681,5.392350960078646,5.530193135454531
2.019327731092437,0.8715908082820089,-0.474291989005211,-0.5344963874211143,0.749930306099311,-0.13909678498989522,0.13626014505067321,0.38112286762219716,0.3584195954407812,1.2821866116285296,0.7863076596199597,0.2874604112899909,-0.8140151605201227,0.13872836245740514,-0.2718108015237102,0.9846234279162047,0.8480818521724283,0.03791474272375565,0.27371924662050007,2.262282242616468,0.7452541696156119,0.09312667037507494,5.245002352040044,5.384977089835172
2.030252100840336,0.8571719163333692,-0.4601119928788118,-0.5203392426255393,0.7252833571034507,-0.1373525692622804,0.13472730736592203,0.35577699414736785,0.3371808529714167,1.2506132945697424,0.8222338384919853,0.3172102145812167,-0.7996776757129119,0.15382668608422947,-0.279524967896751,0.9464467401415322,0.7967888755073715,0.03701717563302116,0.24026819717506834,2.240102097715849,0.7401067052682667,0.10179685702933576,5.102526648470445,5.244851298274025
2.041176470588235,0.8426527966111309,-0.446576143762814,-0.5064394006240431,0.702376640979131,-0.1356517646220629,0.13313404909551452,0.33265280065528785,0.31529090995997966,1.2175749616738245,0.8557557591658699,0.34570902725193176,-0.7835715931717921,0.16984403004303575,-0.28657812566352947,0.9094939878146255,0.7498138122975672,0.03612607627364643,0.21006624368719867,2.2148067066405694,0.7334991731492575,0.11097401665008132,4.964780016512946,5.109614368391391
